Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Rwanda,RWA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,4.9,4.8,4.6,4.4,4.2,4.1,4,3.9,3.8,3.5,3.4,3.3,3.2,3.1,3,2.9,2.7,2.6,2.4,2.3,2.2,2,..
Rwanda,RWA,Forest area (sq. km),AG.LND.FRST.K2,2870,2848,2826,2804,2782,2760,2738,2716,2694,2670,2680,2690,2700,2720,2730,2740,2750,2760,2770,2780,2790,..,..
Rwanda,RWA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,10.7,9.6,8.8,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,..
Rwanda,RWA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,1.57894736842105,1.79325207368421,2.00755678947368,2.22186149473684,2.43616621052632,2.65047091578947,2.91227937894737,3.17408785263158,3.43589631578947,4.48313018947368,4.7449386631579,5.00674712631579,5.2685556,5.53036407368421,5.7921725368421,6.05398101052632,6.42105263157895,6.42105263157895,6.42105263157895,6.42105263157895,..,..,..
Rwanda,RWA,Urban population growth (annual %),SP.URB.GROW,8.08083176249647,5.64063580854919,3.32479230086688,2.29795473519903,2.68595662077977,2.6908450571903,2.68934981041493,2.67823997031345,2.64612716711945,2.44497953015304,3.18655194284357,4.89218676859769,6.27772586874097,7.33433249429036,8.06916696962031,8.51166548585975,8.70483012072618,8.69819879632089,8.52382771076354,8.41216905490219,5.99461839278821,5.64716525959838,..
Rwanda,RWA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,405.776823991798,406.223640037907,407.829159505775,396.494966802982,387.066145752688,352.136028277729,350.903344670586,347.627010114549,347.008912213796,354.165609155772,354.886177609396,352.158641161359,350.169173195487,347.74298432412,352.157966903596,355.698420076335,357.419084978587,358.132557033915,365.508479917565,372.991402429343,..,..,..
Rwanda,RWA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,25.3228326364076,26.1852948693474,28.451771271568,27.7167188296091,23.59120791975,24.5181195530015,28.1743272519084,27.6441730010043,29.9869373229151,35.3650508901236,33.1730569873456,35.284520381738,41.2370354626478,47.2347811087387,48.1885845504775,56.7745217086873,55.1811456122419,54.8759333213785,60.6502606463671,68.1267274337541,..,..,..
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,2068836754.37431,1966600715.49841,1966003468.49117,2138237278.73822,2376496067.01198,2933819766.17656,3319784538.73346,4070507894.61656,5179854064.57033,7654761050.18587,7819964030.17937,8238966124.23115,8543760199.80208,8695272057.91798,9252833891.40871,9637904520.86283,10349300276.7623,10174386856.6101,11078787090.1564,13316161002.3912,14331722703.4134,14251642235.0968,..
Rwanda,RWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.37089593548548,8.4845603416011,13.1920736254262,2.20238751139603,7.44766737034072,9.3778991673686,9.22707576798881,7.63329819125276,11.1612473247323,8.64150815836322,4.71984856978263,6.16716615166932,8.8568555974538,5.97074525431094,3.91817093628465,8.51646722592409,9.44738518613097,-3.37368746369782,10.8584320184896,8.16120720872912,8.24990302014558,8.89065529573114,..
Rwanda,RWA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,3.27539722143884,-0.39258927986296,-5.22720896305826,20.3613027187849,11.0949086013764,9.03080654832287,2.46160327416591,12.936041097788,14.4540325669763,4.7228346580055,2.68970175896683,4.73237348815783,0.485928791648902,5.03012214050614,8.16262594714252,-0.603329019206939,2.47117029507604,6.71183680148918,2.94541628893479,15.8113142236803,11.9488360924784,3.76207995661197,..
Rwanda,RWA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,31.1849871789041,31.7940006044905,30.1946865741942,33.0353672438095,33.895261824051,33.7756165293022,30.026108002825,26.068484121694,24.7805133299176,24.765432008534,24.9203167464094,24.6883207854521,23.9810045274251,25.1527094826327,26.3454376635445,24.6227246165566,23.560629300383,26.6559195496967,24.0706966220179,24.886975847496,26.612127488198,24.5807696089078,..
Rwanda,RWA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,16.8199894205861,16.4383277981487,16.3918384200183,14.2873220806925,14.5850139685545,14.9498202744611,15.8329921631119,16.7334821839077,16.2638385339331,18.2255034210874,17.6168559784511,17.5513834863908,17.4466631881327,16.8369912939315,17.2842232487373,17.3499797528636,18.8647459714312,18.6382750394843,20.4522932693169,21.2695312277805,20.703253350416,20.9658580178961,..
