Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Burkina Faso,BFA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,9.84184747809064,10.9568635027021,10.3485422167992,10.1493270523848,26.5980854179657,27.0769854530325,26.932004154154,26.1076455357024,25.915964804251,26.4523856350501,28.0789061419219,29.2576956572794,31.7768656908663,32.797073516181,31.2180734191588,28.9402085370677,28.5577186223644,..
Burkina Faso,BFA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,24.3303222900142,24.1496788527529,23.4311750727081,25.2359899277654,34.6405225638741,36.9588658493908,31.8915583395886,32.9815357744638,31.9772079951896,32.8163945669667,32.5167194817269,31.1509972180432,28.9629129494576,29.6232851445985,36.3022167140067,34.1924766322622,31.9447036688705,..
Burkina Faso,BFA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,17.5635935306702,16.1250056320714,18.2510847811436,20.7319624459801,24.6529928973207,23.7099150061433,19.2622491931648,19.4066997164243,20.7955479484027,22.0618365902649,21.7391048190018,19.7578680144889,17.1615174265995,15.5079014507343,18.0585053758947,20.4019181340469,21.9339346887971,..
Burkina Faso,BFA,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,11.3144980387012,11.6244635665032,12.2340925922714,11.4777574593161,15.5744972185096,16.8259532010796,15.4651331120678,14.9763866438533,16.1772531489629,16.7979690107759,16.8227576927971,18.6065470510655,16.8724830364315,18.6747468703827,19.8726301782939,21.4101843072001,..,..
Burkina Faso,BFA,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,BFA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,10.4497340752352,10.7784082619188,11.2791891175924,10.5488763470651,13.889962428562,14.9486419589637,13.6638275123117,13.2802007030138,14.1391533049498,15.2607212238254,15.2924120796082,15.6406078587093,13.7423701755588,16.0197877797196,17.8607653483496,18.5514879980901,..,..
Burkina Faso,BFA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.2018948481342,1.11032179719724,1.41572652816375,1.24291260830384,1.17602847916222,1.23609025726906,1.27234195224905,1.25078088033268,1.16533335437179,1.36362970468668,1.92538455062898,2.2125520849195,2.1142418147419,2.33362863136249,2.98161566942536,4.0787117239204,4.67973196943363,..
Burkina Faso,BFA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,4.54743,7.07267,12.5405,19.82,58.0942,63.5243,68.5396,76.9373,79.6698,90.2081,94.622,97.1499,102.973,112.198,119.463,..,..,..
Burkina Faso,BFA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,..,..,8.62483762166537,14.0169615252893,11.0587712923066,4.96027740230027,5.94496725526008,5.75853107563762,5.88092859304184,25.7871512116805,3.40123479951733,2.25653916783306,1.5289989764953,3.79784659837351,1.64548901950889,..
Burkina Faso,BFA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,28.1142321513942,29.1259771378001,30.174188719598,28.6834735616135,45.8322828867029,49.9914443825335,43.2402857948083,44.4213085692402,45.6154788056682,47.749494530721,47.5454280352741,46.922519234808,47.9435540216211,49.0264856775805,53.8168468408676,51.5149337057476,52.1908799657735,..
Burkina Faso,BFA,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,80.6,81,83.1,80.1,116.5,105.8,97.7,100,110.9,109.3,105.9,112.7,138.3,113.5,97.3,107.3,..,..
Burkina Faso,BFA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2011339006.1,1143923817.7,1969571660.4,2674882379,7439424331.8,8946024649.5,10302548966.3,12601802193.7,10251883007.9,12771161142.4,10625588206.9,9160899696.4,9769403426.9,10332659621,9905922029.1,10477855860.6,10845161721.4,..
Burkina Faso,BFA,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,7.9470610405809,6.23944006723869,14.3947347370956,18.9613186532432,23.590493702996,31.3023595635814,37.1994898824789,55.1912850414511,35.8367222621689,40.3276068719955,63.1575913019546,49.4789970682693,38.7337417162162,7.58878923609941,17.5796065996179,11.6676647392299,13.6006276960344,..
Burkina Faso,BFA,Net migration,SM.POP.NETM,9795,-4218,-28202,-40725,-20930,-33212,-17984,-19726,-7598,-14780,-23938,-25240,-5661,-13079,-24960,-24957,-25807,-27130
Burkina Faso,BFA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,56664819.5959556,67996281.7810241,84436174.1346808,99742143.2004594,209980744.386755,308469520.206762,396308040.732103,384985616.449515,397373892.542271,416839243.101534,455650092.233639,467251841.7327,524608104.841885,570950968.580104,523912790.750469,584392246.516695,590000000,..
Burkina Faso,BFA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,52130040.8814283,83849256.0712147,21711800.9008661,33190579.8762819,329281976.028321,490403410.536841,357296974.294134,231901703.683868,390622353.410171,2572690.32188177,268414907.946195,162970140.263612,-98777856.0144418,-79957355.3390048,669738240.850164,109438755.395966,82944120,..
Burkina Faso,BFA,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,698193969.726563,900548339.84375,942715942.382813,1000375305.17578,1152317382.8125,1045078125,1123362792.96875,998385070.800781,1029480468.75,892151123.046875,1187555664.0625,1108672241.21094,1732347412.10938,1611648925.78125,1392364990.23438,1436421997.07031,..,..
